data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_2,OMP_10,10,29.804,281.056,-90504713.177,20.312,28.52
AA,unrooted,LG,tree_2,OMP_10,2,50.739,330.705,-90504713.177,20.312,49.001
AA,unrooted,LG,tree_2,OMP_48,3,11.399,454.021,-90504713.177,20.312,9.955
AA,unrooted,LG,tree_2,VANILA,5,220.6,213.739,-90504713.177,20.312,217.421
AA,unrooted,LG,tree_2,OMP_10,1,29.969,282.506,-90504713.177,20.312,28.647
AA,unrooted,LG,tree_2,OMP_48,4,11.25,449.444,-90504713.177,20.312,9.848
AA,unrooted,LG,tree_2,OMP_10,9,29.898,280.909,-90504713.177,20.312,28.511
AA,unrooted,LG,tree_2,VANILA,6,219.261,212.464,-90504713.177,20.312,216.12
AA,unrooted,LG,tree_2,VANILA,8,224.057,217.453,-90504713.177,20.312,220.868
AA,unrooted,LG,tree_2,OMP_10,6,48.037,313.799,-90504713.177,20.312,46.667
AA,unrooted,LG,tree_2,OMP_48,2,12.529,481.993,-90504713.177,20.312,10.796
AA,unrooted,LG,tree_2,VANILA,3,221.36,214.678,-90504713.177,20.312,218.243
AA,unrooted,LG,tree_2,OMP_10,7,29.675,280.217,-90504713.177,20.312,28.462
AA,unrooted,LG,tree_2,OMP_10,8,28.444,258.444,-90504713.177,20.312,27.108
AA,unrooted,LG,tree_2,OMP_48,5,12.052,480.556,-90504713.177,20.312,10.612
AA,unrooted,LG,tree_3,OMP_10,2,66.449,426.117,-87357001.171,19.421,64.552
AA,unrooted,LG,tree_3,OMP_10,10,39.342,374.042,-87357001.171,19.421,38.068
AA,unrooted,LG,tree_3,OMP_10,5,39.46,362.091,-87357001.171,19.421,38.17
AA,unrooted,LG,tree_3,OMP_48,8,14.642,570.499,-87357001.171,19.421,13.33
AA,unrooted,LG,tree_3,OMP_48,7,16.641,661.068,-87357001.171,19.421,15.232
AA,unrooted,LG,tree_3,OMP_48,10,18.361,622.292,-87357001.171,19.421,17.015
AA,unrooted,LG,tree_3,OMP_48,1,13.971,576.212,-87357001.171,19.421,12.577
AA,unrooted,LG,tree_3,OMP_10,3,39.239,373.237,-87357001.171,19.421,37.992
AA,unrooted,LG,tree_3,OMP_48,6,13.984,569.798,-87357001.171,19.421,12.535
AA,unrooted,LG,tree_3,OMP_48,9,19.546,625.708,-87357001.171,19.421,18.067
AA,unrooted,LG,tree_3,OMP_10,4,40.421,383.42,-87357001.171,19.421,39.068
AA,unrooted,LG,tree_3,OMP_48,5,15.892,612.972,-87357001.171,19.421,14.433
AA,unrooted,LG,tree_3,OMP_10,8,64.886,391.759,-87357001.171,19.421,63.496
AA,unrooted,LG,tree_3,OMP_10,7,39.24,373.032,-87357001.171,19.421,37.976
AA,unrooted,LG,tree_3,OMP_48,2,15.419,607.151,-87357001.171,19.421,14.152
AA,unrooted,LG,tree_3,OMP_10,6,60.389,401.842,-87357001.171,19.421,59.039
AA,unrooted,LG,tree_3,OMP_10,9,39.312,373.42,-87357001.171,19.421,38.031
AA,unrooted,LG,tree_3,OMP_48,4,16.554,613.444,-87357001.171,19.421,15.324
AA,unrooted,LG,tree_3,OMP_10,1,39.664,376.66,-87357001.171,19.421,38.318
AA,unrooted,LG,tree_3,OMP_48,3,14.243,585.374,-87357001.171,19.421,12.834
AA,unrooted,LG,tree_4,OMP_10,2,66.388,432.402,-87712627.079,20.39,64.837
AA,unrooted,LG,tree_4,OMP_10,10,39.51,376.02,-87712627.079,20.39,38.262
