data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
DNA,unrooted,GTR+G4,tree_3,-31.2465,0.0581251,0,,-31.2465,0.0714109,0,,0.0
DNA,unrooted,GTR+G4,tree_4,-18.6068,0.0321771,0,,-18.6068,0.146857,0,,0.0
DNA,unrooted,GTR+G4,tree_5,-13.4918,0.040299,0,,-13.4918,0.0375359,0,,0.0
DNA,unrooted,GTR+G4,tree_6,-10.8891,0.0456586,0,,-10.8891,0.0260799,0,,0.0
DNA,unrooted,GTR+G4,tree_7,-27.0571,0.036421,0,,-27.0571,0.160249,0,,0.0
DNA,unrooted,GTR+G4,tree_8,-23.0022,0.0383832,0,,-23.0022,0.083143,0,,0.0
DNA,unrooted,GTR+G4,tree_9,-28.1319,0.0375491,0,,-28.1319,0.0797908,0,,0.0
DNA,unrooted,GTR+I,tree_1,-22.4664,0.0460644,0,,-22.4664,0.0763621,0,,0.0
DNA,unrooted,GTR+I,tree_10,-32.2538,0.0193077,0,,-32.2538,0.195676,0,,0.0
DNA,unrooted,GTR+I,tree_2,-34.6638,0.0241452,0,,-34.6638,0.129841,0,,0.0
DNA,unrooted,GTR+I,tree_3,-24.437,0.0618933,0,,-24.437,0.0622711,0,,0.0
DNA,unrooted,GTR+I,tree_4,-17.9419,0.0676495,0,,-17.9419,0.059186,0,,0.0
DNA,unrooted,GTR+I,tree_5,-24.1045,0.0438182,0,,-24.1045,0.0461102,0,,0.0
DNA,unrooted,GTR+I,tree_6,-22.6284,0.0518961,0,,-22.6284,0.0572679,0,,0.0
DNA,unrooted,GTR+I,tree_7,-25.9965,0.0386643,0,,-25.9965,0.199318,0,,0.0
DNA,unrooted,GTR+I,tree_8,-19.9932,0.0645648,0,,-19.9932,0.115842,0,,0.0
DNA,unrooted,GTR+I,tree_9,-15.7807,0.0299168,0,,-15.7807,0.0577428,0,,0.0
DNA,unrooted,GTR+I+G4,tree_1,-17.6944,0.0608012,0,,-17.6944,0.984115,0,,0.0
DNA,unrooted,GTR+I+G4,tree_10,-25.2858,0.0472516,0,,-25.2873,0.442242,0,,0.0015000000000000568
DNA,unrooted,GTR+I+G4,tree_2,-24.4936,0.0355466,0,,-24.4935,0.637796,0,,9.999999999976694e-05
DNA,unrooted,GTR+I+G4,tree_3,-15.759,0.0778835,0,,-15.759,0.3933,0,,0.0
DNA,unrooted,GTR+I+G4,tree_4,-12.6631,0.0466599,0,,-12.6631,0.354513,0,,0.0
DNA,unrooted,GTR+I+G4,tree_5,-27.6278,0.0600845,0,,-27.6277,1.08553,0,,9.999999999976694e-05
