file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,openACC_H200,GTR+I,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,1.683,0.004,-6054771.582,560.818,355.164,1336.688,462.0,347.148
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,openACC_H200,GTR,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,2.331,0.004,-6075235.09,692.786,416.482,1336.688,462.0,346.984
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-G4_100taxa_1000000len_modelwise_te.log,DNA,GTR+I+G4,100,1000000,cpu_OMP_104,GTR+G4,COMPLETE,gadi-cpu-spr-0572.gadi.nci.org.au,26.537,0.0,-59208016.028,20246.654,,,,14521.367
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000000len_modelwise_te.log,DNA,GTR+I+G4,100,1000000,cpu_OMP_104,GTR+I+G4,COMPLETE,gadi-cpu-spr-0537.gadi.nci.org.au,3095.109,0.0,-59208016.03,2162394.251,,,,14549.758
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I_100taxa_1000000len_modelwise_te.log,DNA,GTR+I+G4,100,1000000,cpu_OMP_104,GTR+I,COMPLETE,gadi-cpu-spr-0109.gadi.nci.org.au,14.286,0.0,-63090954.915,12513.287,,,,6023.871
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR_100taxa_1000000len_modelwise_te.log,DNA,GTR+I+G4,100,1000000,cpu_OMP_104,GTR,COMPLETE,gadi-cpu-spr-0110.gadi.nci.org.au,16.168,0.0,-63265153.247,13823.904,,,,6023.848
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-G4_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,cudajolt_H200,GTR+G4,COMPLETE,gadi-gpu-h200-0021.gadi.nci.org.au,8.837,0.0,-59208015.981,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-I-G4_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,cudajolt_H200,GTR+I+G4,COMPLETE,gadi-gpu-h200-0013.gadi.nci.org.au,97.776,0.0,-59208015.977,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-I_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,cudajolt_H200,GTR+I,COMPLETE,gadi-gpu-h200-0021.gadi.nci.org.au,49.976,0.0,-63090954.915,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,cudajolt_H200,GTR,COMPLETE,gadi-gpu-h200-0013.gadi.nci.org.au,6.319,0.0,-63265153.278,,,,,
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-G4_100taxa_1000000len_modelwise_te_OPENACC_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,openACC_H200,GTR+G4,COMPLETE,gadi-gpu-h200-0029.gadi.nci.org.au,16.103,0.01,-59208016.296,6499.488,6393.226,14542.688,13668.0,2098.23
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_modelwise_te_OPENACC_run1_tree_1_1000000_iqtree.log,DNA,GTR+I+G4,100,1000000,openACC_H200,GTR+I+G4,COMPLETE,gadi-gpu-h200-0021.gadi.nci.org.au,1287.148,0.004,-59208016.298,349076.263,541514.762,14542.688,13668.0,2098.203
