file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,logL_ref,delta_logL,rel_diff
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R1_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R1,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,1.14,0.009,-70978271.289,515.104,301.113,2942.688,2068.0,389.176,-7941914.563,-63036356.726,-7.937173867328595
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R2_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R2,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,6.254,0.009,-7609499.909,2585.073,1838.969,5452.688,4578.0,386.781,-7609499.909,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R3_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R3,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,5.666,0.008,-7548154.558,2550.044,1676.968,7604.688,6730.0,381.5,-7548154.558,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R4,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,30.742,0.014,-7541972.878,11553.682,10232.64,8124.688,7250.0,382.688,-7541972.803,-0.07499999925494194,-9.94434761487192e-09
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R5_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R5,COMPLETE,gadi-gpu-h200-0026.gadi.nci.org.au,63.582,0.008,-7541974.702,16069.861,22568.903,9578.688,8704.0,389.77,-7541974.702,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R6_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R6,COMPLETE,gadi-gpu-h200-0021.gadi.nci.org.au,97.728,0.004,-7541974.193,27208.154,33834.165,11096.688,10222.0,391.949,-7541974.067,-0.12600000016391277,-1.6706501380749547e-08
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R7_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I+R7,COMPLETE,gadi-gpu-h200-0009.gadi.nci.org.au,82.336,0.004,-7541974.015,22672.614,28833.395,12554.688,11680.0,387.027,-7541973.962,-0.05299999937415123,-7.02733788809005e-09
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+I,COMPLETE,gadi-gpu-h200-0013.gadi.nci.org.au,2.921,0.007,-7941914.563,1032.39,861.884,2760.688,1886.0,386.234,-7941914.563,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R1_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R1,COMPLETE,gadi-gpu-h200-0019.gadi.nci.org.au,1.299,0.005,-7964675.113,712.84,348.446,2760.688,1886.0,386.102,-7964675.113,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R2_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R2,COMPLETE,gadi-gpu-h200-0009.gadi.nci.org.au,5.855,0.004,-7614626.014,1801.39,1718.708,5452.688,4578.0,382.578,-7614626.014,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R3_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R3,COMPLETE,gadi-gpu-h200-0023.gadi.nci.org.au,6.347,0.006,-7548506.542,1942.371,1991.842,7604.688,6730.0,382.492,-7548506.542,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R4,COMPLETE,gadi-gpu-h200-0020.gadi.nci.org.au,5.23,0.007,-7541972.467,1567.773,1626.865,8124.688,7250.0,382.645,-7541972.381,-0.08600000012665987,-1.1402852699820815e-08
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R5_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R5,COMPLETE,gadi-gpu-h200-0020.gadi.nci.org.au,69.969,0.004,-7541974.075,25638.102,24379.854,9578.688,8704.0,389.594,-7541974.075,0.0,0.0
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R6_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_H200,LG+R6,COMPLETE,gadi-gpu-h200-0010.gadi.nci.org.au,87.602,0.033,-7541974.46,24216.127,30782.494,11096.688,10222.0,391.844,-7541974.468,0.00800000037997961,1.060730239000805e-09
