Data Type,Config,Length,Wall Total (sec),Wall Total (min),Wall Total (hm),Command
AA,GPU H200,10K,377.0,6.3,6m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
AA,GPU V100,10K,593.8,9.9,10m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
AA,Clang 10T,1M,108943.9,1815.7,30h16m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 10
AA,Clang 48T,1M,50570.5,842.8,14h03m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 48
DNA,Clang 10T,100K,1344.8,22.4,22m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_100000len -seed 1 -nt 10
DNA,Clang 1T,100K,12405.4,206.8,3h27m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree -seed 1
DNA,Clang 48T,100K,656.1,10.9,11m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_100000len -seed 1 -nt 48
DNA,GCC 10T,100K,1429.4,23.8,24m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,100K,9299.0,155.0,2h35m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_100000_iqtree3_VANILA_run1_tree_1_100000_iqtree -seed 1
DNA,GCC 48T,100K,967.3,16.1,16m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 48
