data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+R4,tree_4,OPENACC,False,-50.9005,"(0.2072,0.3506) (0.2515,0.9829) (0.2762,1.2171) (0.2651,1.2976) [1         0.3506         0.2072 |   2         0.9829         0.2515 |   3         1.2171         0.2762 |   4         1.2976         0.2651]"
AA,rooted,LG+R4,tree_4,OPENACC,True,-50.900493,"(0.207188,0.350615) (0.251530,0.982904) (0.276167,1.217071) (0.265115,1.297595) [1         0.350615       0.207188 |   2         0.982904       0.251530 |   3         1.217071       0.276167 |   4         1.297595       0.265115]"
AA,rooted,LG+R4,tree_4,VANILA,False,-50.9005,"(0.2072,0.3506) (0.2515,0.9829) (0.2762,1.2171) (0.2651,1.2976) [1         0.3506         0.2072 |   2         0.9829         0.2515 |   3         1.2171         0.2762 |   4         1.2976         0.2651]"
AA,rooted,LG+R4,tree_4,VANILA,True,-50.900493,"(0.207188,0.350615) (0.251530,0.982904) (0.276167,1.217071) (0.265115,1.297595) [1         0.350615       0.207188 |   2         0.982904       0.251530 |   3         1.217071       0.276167 |   4         1.297595       0.265115]"
AA,rooted,LG+R4,tree_5,OPENACC,False,-46.2455,"(0.3030,0.1224) (0.2159,0.1403) (0.2704,0.1476) (0.2107,4.2361) [1         0.1224         0.3030 |   2         0.1403         0.2159 |   3         0.1476         0.2704 |   4         4.2361         0.2107]"
AA,rooted,LG+R4,tree_5,OPENACC,True,-46.24553,"(0.303047,0.122445) (0.215858,0.140278) (0.270359,0.147591) (0.210737,4.236144) [1         0.122445       0.303047 |   2         0.140278       0.215858 |   3         0.147591       0.270359 |   4         4.236144       0.210737]"
AA,rooted,LG+R4,tree_5,VANILA,False,-46.2455,"(0.3030,0.1224) (0.2159,0.1403) (0.2704,0.1476) (0.2107,4.2361) [1         0.1224         0.3030 |   2         0.1403         0.2159 |   3         0.1476         0.2704 |   4         4.2361         0.2107]"
AA,rooted,LG+R4,tree_5,VANILA,True,-46.24553,"(0.303047,0.122445) (0.215858,0.140278) (0.270359,0.147591) (0.210737,4.236144) [1         0.122445       0.303047 |   2         0.140278       0.215858 |   3         0.147591       0.270359 |   4         4.236144       0.210737]"
AA,rooted,LG+R4,tree_6,OPENACC,False,-54.0278,"(0.3617,0.1382) (0.3030,0.2092) (0.2116,0.2264) (0.1237,6.7816) [1         0.1382         0.3617 |   2         0.2092         0.3030 |   3         0.2264         0.2116 |   4         6.7816         0.1237]"
AA,rooted,LG+R4,tree_6,OPENACC,True,-54.027844,"(0.361735,0.138233) (0.302960,0.209207) (0.211631,0.226371) (0.123675,6.781562) [1         0.138233       0.361735 |   2         0.209207       0.302960 |   3         0.226371       0.211631 |   4         6.781562       0.123675]"
