data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
AA,rooted,LG+I+G4,tree_8,-36.8361,-36.8361,0.0,0,0,0.8943,0.8943,436.171,466.6493,0.369,0.032
AA,rooted,LG+I+G4,tree_9,-48.2382,-48.2382,0.0,0,0,0.0,0.0,998.426,998.426,0.637,0.054
AA,rooted,LG+R4,tree_1,-60.624,-60.6027,0.02130000000000365,0,0,,,,,0.0508451462,0.011
AA,rooted,LG+R4,tree_10,-53.2315,-53.2021,0.02939999999999543,0,0,,,,,0.0405888557,0.015
AA,rooted,LG+R4,tree_2,-48.1774,-48.1782,0.0007999999999981355,0,0,,,,,0.0496928692,0.012
AA,rooted,LG+R4,tree_3,-55.2072,-55.1647,0.042499999999996874,0,0,,,,,0.069370985,0.016
AA,rooted,LG+R4,tree_4,-50.8853,-50.9005,0.015200000000000102,0,0,,,,,0.0455839634,0.013
AA,rooted,LG+R4,tree_5,-47.1824,-46.2455,0.9369000000000014,0,0,,,,,0.0662631989,0.011
AA,rooted,LG+R4,tree_6,-55.5442,-54.0278,1.5163999999999973,0,0,,,,,0.0551288128,0.036
AA,rooted,LG+R4,tree_7,-35.4442,-35.4523,0.008099999999998886,0,0,,,,,0.0416989326,0.016
AA,rooted,LG+R4,tree_8,-40.5529,-40.5633,0.010399999999997078,0,0,,,,,0.0410561562,0.015
AA,rooted,LG+R4,tree_9,-68.7165,-68.7165,0.0,0,0,,,,,0.0635499954,0.024
AA,unrooted,LG,tree_1,-39.1115,-39.1115,0.0,0,0,,,,,0.017,0.001
AA,unrooted,LG,tree_10,-26.8698,-26.8698,0.0,0,0,,,,,0.011,0.001
AA,unrooted,LG,tree_2,-34.0114,-34.0114,0.0,0,0,,,,,0.013,0.001
